,date,close,open,high,low,volume
428,2020-07-20,219820.0,220959.0,220959.0,218383.0,686819.0
429,2020-07-21,222883.0,221919.0,223486.0,221428.0,918483.0
430,2020-07-22,222866.0,222820.0,223886.0,222162.0,856218.0
431,2020-07-23,221619.0,222724.0,222724.0,220299.0,934542.0
432,2020-07-24,220044.0,219673.0,221957.0,219549.0,1001024.0
433,2020-07-27,221786.0,220348.0,223125.0,220348.0,928624.0
434,2020-07-28,225699.0,223819.0,226600.0,223721.0,866725.0
435,2020-07-29,226316.0,225835.0,227679.0,225224.0,899494.0
436,2020-07-30,226701.0,227533.0,228133.0,226381.0,713039.0
437,2020-07-31,224937.0,227853.0,228141.0,224849.0,739688.0
438,2020-08-03,225104.0,225165.0,225438.0,223704.0,648462.0
439,2020-08-04,227997.0,227233.0,228466.0,226969.0,722906.0
440,2020-08-05,231186.0,228923.0,231214.0,228395.0,841298.0
441,2020-08-06,234261.0,232264.0,235248.0,232264.0,797147.0
442,2020-08-07,235167.0,234925.0,236224.0,233362.0,812594.0
443,2020-08-10,238638.0,235392.0,239051.0,234933.0,784617.0
444,2020-08-11,241867.0,239611.0,242936.0,239611.0,843437.0
445,2020-08-12,243235.0,241478.0,243235.0,239327.0,763734.0
446,2020-08-13,243753.0,245528.0,245817.0,241249.0,907218.0
447,2020-08-14,240749.0,242785.0,243500.0,238369.0,968124.0
448,2020-08-18,234824.0,240584.0,241965.0,233678.0,909750.0
449,2020-08-19,236054.0,237087.0,238010.0,235317.0,637965.0
450,2020-08-20,227422.0,233991.0,235708.0,227085.0,903743.0
451,2020-08-21,230459.0,230616.0,232934.0,228097.0,865735.0
452,2020-08-24,232983.0,230938.0,233233.0,228348.0,649276.0
453,2020-08-25,236673.0,235215.0,236978.0,234097.0,771584.0
454,2020-08-26,236932.0,236774.0,237468.0,233698.0,956477.0
455,2020-08-27,234445.0,237195.0,237336.0,234438.0,913917.0
456,2020-08-28,235380.0,236222.0,237926.0,234528.0,1297312.0
457,2020-08-31,232617.0,237709.0,238150.0,232606.0,1647817.0
458,2020-09-01,234955.0,234019.0,235590.0,233123.0,1085245.0
459,2020-09-02,236437.0,236343.0,236957.0,234129.0,1429273.0
460,2020-09-03,239590.0,238326.0,240178.0,238223.0,981546.0
461,2020-09-04,236825.0,233268.0,237102.0,233268.0,1351039.0
462,2020-09-07,238422.0,236985.0,238749.0,236242.0,1197385.0
463,2020-09-08,240191.0,240266.0,240756.0,239143.0,979357.0
464,2020-09-09,237581.0,237253.0,238885.0,236912.0,946247.0
465,2020-09-10,239648.0,240483.0,240668.0,238856.0,1064574.0
466,2020-09-11,239669.0,238976.0,239756.0,237400.0,882880.0
467,2020-09-14,242791.0,241833.0,242907.0,241079.0,963082.0
468,2020-09-15,244358.0,243459.0,244457.0,242379.0,849968.0
469,2020-09-16,243592.0,244272.0,245053.0,242994.0,772938.0
470,2020-09-17,240617.0,243077.0,243702.0,239869.0,853740.0
471,2020-09-18,241240.0,241353.0,241781.0,239633.0,756516.0
472,2020-09-21,238939.0,241244.0,242717.0,237938.0,1041993.0
473,2020-09-22,233259.0,238814.0,238849.0,232358.0,1051028.0
474,2020-09-23,233324.0,235256.0,235446.0,228744.0,735041.0
475,2020-09-24,227270.0,229562.0,230974.0,226888.0,714881.0
476,2020-09-25,227879.0,229519.0,229636.0,226763.0,697961.0
477,2020-09-28,230808.0,230116.0,231481.0,229132.0,605977.0
478,2020-09-29,232789.0,233151.0,233983.0,232004.0,646218.0
479,2020-10-05,235800.0,233055.0,236473.0,232783.0,763618.0
480,2020-10-06,236590.0,236917.0,237828.0,235539.0,861754.0
481,2020-10-07,238694.0,235082.0,238745.0,234782.0,737994.0
482,2020-10-08,239196.0,240849.0,240901.0,238382.0,961726.0
483,2020-10-12,240373.0,240418.0,240942.0,239374.0,843574.0
484,2020-10-13,240315.0,241685.0,241889.0,238587.0,724920.0
485,2020-10-14,238048.0,240374.0,240556.0,237554.0,901176.0
486,2020-10-15,236121.0,237591.0,237673.0,234874.0,1165501.0
487,2020-10-16,234153.0,236388.0,237073.0,232503.0,920205.0
488,2020-10-19,234674.0,235292.0,236425.0,234477.0,931645.0
489,2020-10-20,235841.0,233356.0,235841.0,232206.0,874293.0
490,2020-10-21,237086.0,236303.0,237174.0,235632.0,812837.0
491,2020-10-22,235505.0,235561.0,236022.0,233973.0,815612.0
492,2020-10-23,236081.0,236484.0,236857.0,234449.0,890384.0
493,2020-10-26,234391.0,236650.0,237450.0,234258.0,822267.0
494,2020-10-27,233084.0,232866.0,234933.0,232123.0,666941.0
495,2020-10-28,234526.0,232418.0,234546.0,231647.0,705770.0
496,2020-10-29,232667.0,231234.0,233017.0,229991.0,509768.0
497,2020-10-30,226715.0,231956.0,232020.0,226693.0,795585.0
498,2020-11-02,230016.0,227661.0,230264.0,226795.0,678501.0
499,2020-11-03,234331.0,231581.0,234477.0,231530.0,887445.0
500,2020-11-04,235732.0,236132.0,237114.0,233995.0,986786.0
501,2020-11-05,241379.0,237341.0,241379.0,237085.0,702037.0
502,2020-11-06,241650.0,242179.0,243111.0,240497.0,825568.0
503,2020-11-09,244720.0,243863.0,245915.0,243452.0,1354862.0
504,2020-11-10,245283.0,245395.0,245794.0,243559.0,1464168.0
505,2020-11-11,248587.0,245950.0,248804.0,245950.0,1272038.0
506,2020-11-12,247562.0,248268.0,248879.0,246704.0,1278691.0
507,2020-11-13,249387.0,247012.0,249577.0,246096.0,1072383.0
508,2020-11-16,254303.0,250746.0,254637.0,250746.0,1239135.0
509,2020-11-17,253915.0,254412.0,255609.0,253334.0,1267494.0
510,2020-11-18,254564.0,254885.0,255395.0,253678.0,923504.0
511,2020-11-19,254742.0,253689.0,254895.0,252953.0,976483.0
512,2020-11-20,255350.0,254406.0,255821.0,253979.0,1129500.0
513,2020-11-23,260259.0,256004.0,260558.0,255370.0,1649443.0
514,2020-11-24,261776.0,261628.0,262852.0,260503.0,1364506.0
515,2020-11-25,260154.0,263734.0,264226.0,258341.0,1410104.0
516,2020-11-26,262591.0,260573.0,262597.0,259243.0,1387435.0
517,2020-11-27,263345.0,262480.0,263500.0,261847.0,1196041.0
518,2020-11-30,259134.0,264805.0,264866.0,259134.0,1311831.0
519,2020-12-01,263425.0,261342.0,263887.0,261167.0,1151129.0
520,2020-12-02,267590.0,264588.0,267726.0,264453.0,1076203.0
521,2020-12-03,269622.0,268638.0,269622.0,267285.0,817065.0
